FID_,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme
,7,20,1,Populated place,Machilipatnam, , ,0,Machilipatnam,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,16.200418110099999,81.179995482300001,0.000000000000000,0, ,192827,192827,1787680,9,9,1264637.000000000000000, ,Machilipatnam,1,0
,7,20,1,Populated place,Khammam, , ,0,Khammam,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,17.280429706800000,80.160057738199995,0.000000000000000,0, ,290839,170503,1249023,10,9,1267076.000000000000000, ,Khammam,1,0
,7,20,1,Populated place,Chirala, , ,0,Chirala,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,15.860413023800000,80.339995075399997,4.000000000000000,0,Changed scale rank.,253000,87001,823467,10,8,1274106.000000000000000, ,Chirala,1,0
,7,20,1,Populated place,Karimnagar, , ,0,Karimnagar,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,18.460435199999999,79.109992633999994,4.000000000000000,0,Changed scale rank.,288251,228745,564219,10,10,1267755.000000000000000, ,Karimnagar,1,0
,7,20,1,Populated place,Nizamabad, , ,0,Nizamabad,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Andhra Pradesh,IN, ,18.670396544399999,78.100028441299997,4.000000000000000,0,Changed scale rank.,388505,305438,435883,10,10,1261258.000000000000000, ,Nizamabad,1,0
,7,20,1,Populated place,Kollam,Quilon, ,0,Kollam,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Kerala,IN, ,8.900372740610001,76.569992634000002,1.000000000000000,1,Name changed.,394163,394163,3475370,10,10,1259091.000000000000000, ,Quilon,1,0
,7,20,1,Populated place,Alappuzha,Alleppey, ,0,Alappuzha,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Kerala,IN, ,9.500413634170000,76.370004840999997,1.000000000000000,1,Name changed.,176783,176783,3899739,9,9,1278985.000000000000000, ,Allappey,1,0
,7,20,1,Populated place,Puri, , ,0,Puri,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Orissa,IN, ,19.820429706799999,85.900017454999997,0.000000000000000,0, ,201026,201026,864475,10,10,1259184.000000000000000, ,Puri,1,0
,7,20,1,Populated place,Sambalpur, , ,0,Sambalpur,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Orissa,IN, ,21.470406513400000,83.970057738199998,0.000000000000000,0, ,310852,162887,310852,10,9,1257542.000000000000000, ,Sambalpur,1,0
,7,20,1,Populated place,Raurkela, , ,0,Raurkela,0.000000000000000,0.000000000000000, ,0.000000000000000,0,India,IND,India,IND,Orissa,IN, ,22.230411803199999,84.829953571499999,4.000000000000000,0,Changed scale rank.,625831,483629,617932,11,10,-1.000000000000000, ,Raurkela,1,0
